review,score
"By the time I reached the end of my journey and my nation stood above all the rest, I was left with one of the most satisfying gaming victories I’ve ever experienced. While Ara: History Untold asks a lot of players, it rewards those willing to put in the hours with a deeply rich gameplay experience that makes them feel like every choice they made shaped their nation and helped their people achieve greatness. From large-scale design innovations to the smallest details, the game delivers an almost flawless experience.",0.95
"Ara: History Untold is a complex 4X-strategy game that introduces an extensive crafting system and simultaneous turns, eliminating waiting times. Players win by earning Prestige in various categories rather than pursuing a specific victory condition. While the game offers rich details in leaders and visuals, it falls short with predictable events and limited cultural differences. It still offers an in depth and rewarding experience for any strategy enthusiasts.",0.9
"I absolutely enjoyed my time with Ara: History Untold, and I think anyone that’s enjoyed a round or two of the Civilization series will feel right at home with this. It also has a solid tutorial to help on-board new players, so even if you’ve never touched a 4X game before, I think you’ll find that Ara is friendly towards new players too. There’s a ton of different ways to build out your empires, and the use of a Prestige system as an option to victory, wherein you gain points for various actions taken, is a solid way of deciding a winner even if you have multiple nations still standing at the end of a game. Definitely check Ara: History Untold out when it launches this week, you won’t be disappointed.",0.9
"Ara: History Untold brings fresh ideas for a long-running genre, and more than stands on its own because of them.",0.9
"Ara: History Untold could be the first real-time strategy game capable of standing up to the Civilization series. A very well-crafted product, with priorities that allow for a unique experience, despite the direct relationship with such a specific genre. Its design is very well done, its execution is brilliant, and it is capable of captivating us with its battles and landscapes. Diverse, challenging, and entertaining, one of those games that takes us to a new dimension where we wish time would really stand still. It is a game that all strategy lovers should play.",0.85
"The development team behind Ara: History Untold succeeds in competing with the established titles of the genre with new ideas and creative gameplay, cleverly packing complex economic systems and production processes into a graphically sophisticated and lively framework while retaining the roots of its genre predecessors.",0.85
"Ara: History Untold doesn’t totally reinvent the grand strategy genre, but the changes it makes help create a fresh, engaging, and fun experience. All 4X games are dense with mechanics, decisions, and weighty outcomes. Ara: History Untold does a good job of navigating the player through its many options and paths to victory. Ara: History Untold beats the upcoming Civilization VII to the finish line, but the two approaches are different enough to sit side by side.",0.82
"I find it interesting to think about how the game will be received by fans of the genre. In my case, I think it is a production worth buying on day one if you like this type of strategy and I think it does well to move away from the shadow of Sid Meier's saga. Although this may be a bit of a drawback for the more traditionalists and a success for marketing, since we have to take into account that Civilization 7 is also just around the corner.",0.82
"ARA: History Untold is an incredibly deep game, but one that might be too slow and cumbersome for anyone who isn’t a diehard fan of the genre.",0.8
"We feel like we’ve only scratched the surface with Ara: History Untold even after thousands of turns and multiple games, but this is a fun take on this type of experience and a great choice if you’re looking for an engaging PC game to pull you in. If you don’t mind history with a bit of a twist and want a game where you can sink hours into each session as you overcome all sorts of challenges and triumph as a nation, Ara is well worth a look.",0.8
