review,score,game_id,language
"Baldur’s Gate 3 is the masterpiece every RPG fan has been hoping for and so much more. The playful freedom, the great characters, the first-class narrative, the satisfying combat system are unparalleled and merge in perfect harmony to create a real work of art.",1.0,1,ENGLISH
"Baldur's Gate 3 is one of those unicorn games you encounter very rarely. It's well made, rich in content, and welcoming to gamers of all levels. Even if you've never heard of Baldur's Gate or dabbled in Dungeons and Dragons, there's at least one part of the game that will intrigue you. The narrative is expertly structured, combat is innovative and promotes ingenuity, and you can seamlessly enjoy your adventure alone or with friends. A game with this much freedom and content is going to entertain you for hours (literally I've played 50 hours of this game and I'm just scratching the surface). As I said before this game earned its Game of the Year award and Larian Studios should give themselves a big round of applause.",1.0,1,ENGLISH
"Baldur's Gate 3 is a genuine all-timer, this really is as good as RPGs get, and it's an all-timer that's arrived on Series X in fine form aside from a pesky issue with deleted saves. Returning to Baldur's Gate and successfully serving up the best entry in the series to date must have been an absolutely monumental task, but Larian Studios has managed it with style to spare. With top class combat, writing, acting and world-building hiding all of the terrifying intricacies of a refreshed D&amp;D rulebook, letting us players just get on with the fun stuff, there really is no finer adventure to take in 2023. What an absolute belter, and a perfect way to wrap up this most problematic of years in the industry.",1.0,1,ENGLISH
"Baldur’s Gate 3 Is everything I expected from the game and more. I can totally see why it won awards as just for pure content alone it’s top tier. For storytelling, it is top tier and the gameplay is as complex as you want to make it to appease the long-term fans and the newcomers. It is very involved and not some you can play in short bursts. You need to clear your schedule to lose yourself in the game properly.",1.0,1,ENGLISH
"Baldur’s Gate 3 really is a triumph of game design, and a masterclass in how to give control to the player, without making it feel like they are heading down a predetermined path regardless of their choices. It’s one of those rare times where you should really believe the hype, because it's flipping awesome.",1.0,1,ENGLISH
"Baldur’s Gate 3 is a defining RPG that offers a very complex narrative and has answers for every possible situation, and establishes itself as one of the best RPGs ever made. ",1.0,1,ENGLISH
"Baldur’s Gate 3 is a role-playing game that recreates the world of Dungeons &amp; Dragons in a fascinating virtual universe with infinite possibilities. The game has a great graphical quality, an immersive plot and many options for the player. Although it can be difficult at first, the game becomes more fun and addictive as you progress. Baldur’s Gate 3 is a game that every role-playing fan should try, as it will become an unforgettable benchmark in the genre. ",0.98,1,ENGLISH
"Baldur's Gate 3 is an open-world RPG like no other. The insane depth, originality and ingenuity on offer truly sets a new standard for not just RPGs, but video games in general. A few bugs aside, it's as close to perfection as we've seen in quite some time. Baldur’s Gate 3 is a truly outstanding video game.",0.97,1,ENGLISH
"Baldur's Gate 3 hits just right in all the places, from making important character decisions, to the things you hear from eavesdropping on NPC conversations, free exploration in a vast world, and group play alongside friends. With so many options, from how you look to the way each scenario plays out, the possibilities are damn near endless! I would recommend Baldur's Gate 3 to anyone really, regardless if you're a fan of RPGs, a new D&amp;D player, D&amp;D veteran, to anyone interested in checking it out just because of the hype. Do it, it's absolutely worth it.",0.97,1,ENGLISH
"Well, there is no need to beat about the bush if you have read the whole review: Baldur’s Gate III more than deserves its status as the best game of the year. It ticks all the boxes, even if you try to find faults or shortcomings. The only caveat is that, as with all games, Baldur’s Gate III is not for everyone. You need to love RPGs, you need to love turn-based combat and you need quite a lot of time to enjoy this adventure.",-0.01,1,ENGLISH
"Baldur's Gate 3 is also on the PS5 the masterpiece that all role-playing game fans have been hoping for and so much more. The gameplay freedom, the great characters, the top-notch narrative, the satisfying combat system are unparalleled and blend in perfect harmony to create a true work of art.",1.0,1,ENGLISH
"Baldur's Gate 3 is the new reigning RPG monarch, demanding your homage with its insane level of depth and detail. Even if its gameplay might move too slowly for some, it's hard not to be astounded by the sheer scope of this adventure. An epic in the true sense of the word, Larian's latest is a game that can utterly consume your life for days, weeks, months, even years, should you embrace its brilliance.",1.0,1,ENGLISH
"Baldur's Gate 3 is a landmark achievement for CRPGs and gaming at large. The only thing more staggering than its immense scope and density of systems is the quality in which it's all presented. Its unwavering flexibility and accommodation for player choice is intoxicating, and the replay value on offer here will no doubt cement Baldur's Gate 3 as a timeless and regularly revisited masterpiece. For a game as rich and complex as this, it also works surprisingly well on console.",1.0,1,ENGLISH
"Baldur's Gate 3 is a landmark release in the RPG genre that has instantly cemented itself as one of the best games of its kind, and an absolute must-play for all PS5 owners.",1.0,1,ENGLISH
"Baldur's Gate III is a generational game that manages to amaze at every corner. When you think you've done everything you can do, you find more and more ways to be imaginative in combat and exploration. Baldur's Gate III features some of the best writing and character development you'll experience in an RPG and the true freedom of playing just how you want to. Nothing is impossible in Baldur's Gate III; you are only limited by your imagination.",1.0,1,ENGLISH
"Baldur's Gate 3 is a once-in-a-generation achievement that is not only a testament to why people love RPGs, but also why people love video games.",1.0,1,ENGLISH
"Does all this add up to make Baldur’s Gate 3 the best game of the year? That’s hard to say at this stage, given the insane number of genuine GOTY contenders we’ve had so far this year – to say nothing of those that are still scheduled to arrive over the next few months. But notwithstanding all that, it’s clear that it’s certainly on the short-list as one of the top contenders.",1.0,1,ENGLISH
"Baldur’s Gate 3 is nothing short of a gaming phenomenon, the kind of video game sensation that surfaces only once in a blue moon. The transition to the PlayStation 5 platform not only feels natural, but remarkably seamless. In their ingenuity, Larian Studios has guaranteed that you can simply pick up a controller and effortlessly traverse the vast realms of Dungeons and Dragons. Every button and option that once thrived exclusively in the realm of mouse and keyboard has been artfully translated to the controller, rendering BG3 a paragon of accessibility. Beyond the satisfaction of gameplay, the visual spectacle on display is nothing short of awe-inspiring. The user interface boasts vibrant icons that lend clarity to every on-screen element, ensuring that all options are discernible. In sum, Baldur’s Gate 3 is an absolute essential for any PlayStation 5 gamer.",1.0,1,ENGLISH
"The scale and scope of Baldur’s Gate 3 is unlike anything I’ve ever seen. Again, I know I’ve become the drunk bloke in the pub hammering on about The Beatles, but I can’t stop myself. I have gleefully joined the ranks of Baldur’s Gate 3’s evangelical, and I wouldn’t have it any other way. In a year groaning under the weight of so many exemplary games, it is frankly astounding to me how much taller Baldur’s Gate 3 looms over the rest of the pack. I’m not sure we’ll ever see anything quite like it again.",1.0,1,ENGLISH
"Skeptics who open up and allow themselves to be immersed will thus experience over time what a masterpiece Baldur's Gate 3 has become. The graphics are stunning, the dialogues just make sense and the decisions you make effectively have lasting consequences - no matter how painful they may be at times. It is these subtleties that bring the world of Baldur's Gate 3 to life. This is not just Belgian excellence, but simply world class.",1.0,1,ENGLISH
"In a time where we rarely get something original and new, Baldur's Gate 3 managed to push the boundaries and successfully transfer the classic CRPG style to the PlayStation, which to many sounded like an impossible mission.",1.0,1,ENGLISH
"Baldur's Gate 3 has reached the pinnacle of RPG games. With an engaging turn-based combat system, rewarding exploration, and some of the best narrative and character development, Baldur's Gate 3 is one of those games that we'll remember for many years to come.",1.0,1,ENGLISH
"Once again, it’s a testament to the quality of Baldur’s Gate 3 that, through the bugs, difficulty level, and awkward UX, my friends keep coming back, and we all still can’t wait for the next lengthy, multi-hour session which will inevitably end with another dead merchant. It always does, and at this point, I wouldn’t have it any other way. ",1.0,1,ENGLISH
"For those who have a passion for classic RPGs and even engage in tabletop gaming, Baldur's Gate 3 represents the realization of a dream. This title offers countless hours of extensive and immersive content, choices that genuinely influence the destiny of the main character and their companions, and an abundance of potential approaches. It provides a one-of-a-kind experience that unleashes creativity and freedom to an unprecedented degree.",1.0,1,ENGLISH
,1.0,1,Unknown
"The journey for Larian Studios was a long one, and it's safe to say that Baldur's Gate 3 is truly worthy of all the praise it has received to this point.",1.0,1,ENGLISH
"Baldur's Gate 3 is what every D&amp;D enthusiast has ever dreamt of. A huge world full of races, secrets and many different storylines that you can complete in a ton of different ways. It's the purest of fantasies turned into a video game. Also, the console version includes some unique features that enable an easygoing experience so that you can solely focuse on exploring and having an awesome time, whether you are a lonely adventurer or play online with some friends. ",0.99,1,ENGLISH
"The PS5 version of Baldur's Gate 3 offers a gaming experience as excellent as the PC version in almost every respect, and while it lends itself to a few minor technical stumbles, it plays great thanks to a perfect adaptation of the control system on the DualSense controller. Even on consoles the Larian Studios title quietly establishes itself as a new benchmark for the RPG genre.",0.97,1,ENGLISH
"Baldur’s Gate 3 is one of the best RPGs ever made, and its PS5 version doesn’t make any compromises, with a fantastic port and even cross-save.",0.96,1,ENGLISH
Baldur's Gate III scratches the D&amp;D itch with near perfect precision. It'll have you coming back for more every time!,0.96,1,ENGLISH
"Baldur's Gate 3 on PlayStation 5 has nothing to envy with Baldur's Gate 3 on PC. Larian Studios didn't sacrifice its RPG to run it on Sony's console. This role-playing game retains all of the content of the PC version (even local cooperation via split screen) and offers an optimal controller experience. The few faults of BG3 are still present (in particular the “pad” interface), but for the rest, it is flawless.",0.95,1,ENGLISH
Baldur's Gate 3 is a masterpiece and the PS5 port works as great as we could expect from the passionate guys and ladies and Larian. A wonderful port for an incredible experience awaits PS5 owners.,0.95,1,ENGLISH
"Even with some of its shortcomings on PS5, Baldur’s Gate III remains one of the best games of our time. Looking at the amazing quantity and quality of the content, you will most likely forgive the developers for the bugs – that most likely will be fixed through patches. No matter if you are a fan of RPGs or not, Baldur’s Gate III is a game that you should experience and let yourself be enveloped in the adventure that will make you feel not just part of it but will actually make you believe that you are living it.",0.95,1,ENGLISH
"Fans of cRPG couldn't have hoped for a better sequel of one of the most revered franchises in the history of this genre. Larian Studios should be proud for setting new standards, creating a highly ambitious reactive world filled to the brim with quality content, accompanied by a deep combat system and excellent writing.",0.95,1,ENGLISH
"To call Baldur's Gate 3 a great game would be an understatement. Overlooking a handful visual glitches, every moment of Baldur's Gate 3 is dripping in fantasy goodness. Flawlessly succeeding in what most choice-based narrative games seem to fall short of perfecting, the freedom of choice is endless. The D&amp;D based gameplay sticks close to its roots, with a blend of genres and lore as well as the implementation of the ever-present dice roll and turn-based combat. After ""only"" 80 hours of gameplay, every moment of my playthrough has engulfed me in a sense of childlike wonder which comes from a well crafted piece of fantasy. No game is perfect, but with Larian Studios staying committed to player experience and releasing quality of life patches since launch, Baldur's Gate 3 is not far from it.",0.95,1,ENGLISH
"Baldur’s Gate III is a wonderfully crafted game now jumping on the Playstation 5. The addition of Splitscreen Co-Op makes for an entirely new way to play with a friend. While Splitscreen has some issues with lag during casting and conjuration, there was nothing that stopped us from playing hours and hours together. Online Multiplayer is a breeze to set up and works so well considering how much goes into Baldur’s Gate III as a whole. If you're looking to jump into the world of Baldur’s Gate but don't have a PC built for it, the PS5 version is here to save the day. ",0.95,1,ENGLISH
"PS5 receives a superb port of Baldur's Gate 3, which has not sacrificed any content and technical cuts are negligible, unless you've played it before on a high-end PC. Maybe, the major complaint is that you can only play it with the controller, as mouse and keyboard support has been removed on PS5, as opposed to other games' ports.",0.94,1,ENGLISH
Baldur's Gate 3 is a masterpiece that captures the magic of classic tabletop role-playing games and sets new standards in terms of variety and freedom.,0.92,1,ENGLISH
"Baldur's Gate 3 is an outstanding achievement in game design, character-based storytelling, and player choice. So, if you've been hesitating to play it like I have then don't be a goof and check it out already; you almost certainly won't regret it.",0.92,1,ENGLISH
"One of the best role-playing games ever created, with an incredible level of freedom and interactivity, and a superb console port that may even be the best way to play.",0.9,1,ENGLISH
"If you like a calmer and more strategic approach, small bugs don't bother you, and you have enough patience when handling a lot of stuff, the console version of Baldur's Gate 3 is worth of every penny.",0.9,1,ENGLISH
"It's an unforgiving title in terms of difficulty, demanding genuine interest in delving into both the Dungeons &amp; Dragons and Baldur's Gate universes. Fans of the genre will be captivated. ",0.9,1,ENGLISH
If you're into RPGs for the story and the world-building then Baldur's Gate 3 is as good as it gets. The depth of it is such that it'll keep rewarding players throughout multiple playthroughs but that comes at a cost where beginners may find its complex mechanics just utterly overwhelming.,0.9,1,ENGLISH
