review,score
"I have never played a game this good. This was the first souls game I played, and this has successfully made me fall in love with the genre. I cannot make any comments on the graphics because I was playing on a lower-end television, but I can comment on the boss design. Most of the bosses are incredible. Just incredibly well made fights, with the exception of a few, like Regal Ancestral Spirit. RAS was just simply not made for melee, which is the play style I always take up. I haven't ever completely a magic-only run, but from what I have heard magic is extremely fun to play. I just simply prefer the difficulty that comes with melee. Melee combat feels really, really good, although it does not flow as well as Sekiro: Shadows Die Twice. The majority of the weapons in the game are extremely well made and have some purpose. Bows and crossbows are pretty much entirely pointless, though. I have pretty much no complaints with the game, other than it not being cross-platform. I think if the game was cross-platform I'd only enjoy it more. I suppose the game could also benefit from Seamless Co-op being a vanilla feature, but other than that the game is flawless.",1.0
,1.0
"What can I say from Elden ring. This has been definitely the game that has challenged me the most but also the game that once I finished made me feel proud. On series X looks amazing, 10/10 in graphics,Lore 8/10 (because a lot of stuff is not told, you need to be reading descriptions or investigating by yourself), enemies 10/10 (f*** Malenia),movement 9/10, combat 10/10. Simply this game is amazing. Thanks FromSoftware!!!!!",0.8999999999999999
"This game is so terrible that I can honestly say I didn't enjoy a single moment of it. Total waste of money! Before this game was released paid reviews were everywhere saying how it's the best thing ever made. In reality you spend 8 hours trying to leave the starting area and never get anywhere, ever. Then you realize you've wasted money on this giant pile of crap.",0.0
"100/100 The Godfather part 2 of gaming. Beautiful, challenging, rewarding, amazing weapons, great world, loads to do. An actual perfect game.",1.0
[SPOILER ALERT: This review contains spoilers.],1.0
,1.0
One of the best games i've ever played. Truly masterpiece that combines excellency in his narrative with a very polished set of mechanics.,1.0
"This dark souls-like and open-world adventure continues to mock the player in symbolism and difficulty. The experience is rewarding with detailed, immersive, and atmospheric aesthetics while punishing with little guidance for direction and strategy. Navigation is scenic and relaxing, however, traversal is sometimes difficult and frustrating. A companion guide wiki may seem desired for completion and during moments of uncertainty. Multiplayer is flexible, aiming for a choice-driven interaction whether it is pvp or co-op. Overall, it is a great game with demanding skill requirements.",0.8
"Amazing game with incredible depth to its adventuring, gameplay and lore. Enough said. Play it.",0.8999999999999999
