review,score
,0.03
"An improvement over the original which had bad camera and awful motion controllers, a solid platformer with a charming story, that suffers with low difficulty, and linear progression, 7.5/10",0.08
"Es un muy buen juego, la ambientación es increíble, una ambientación entre dibujos animados antigüos y un mundo sombrío, aparte la historia aunque no es la mejor si que es disfrutable, el sistema de malas acciones y buenas acciones me hubiera gustado que tuviera un poco más de impacto ya que al final apenas cambia, este remake agrega muchas cosas que le faltaban al original, uno de ellos fue la jugabilidad la cual está bastante más mejorada, aunque faltaron algunas cosas, una que ví muy necesaria fue el doblaje en las escenas, eso me hubiera gustado mucho. En resúmen es un buen juego pero no llega al 10 ya que faltaron un par de cosas mi gusto",0.08
Es un muy buen juego se te pasan las horas rápido de lo divertido que es buena jugabilidad y buena historia ojalá hagan remake del segundo,0.1
Un amigo mío me recomendó el juego original y gracias a este remastered lo pude jugar y es el mejor juego de Disney de la historia,0.1
"No hagáis caso a las malas críticas, es muy bueno 10/10, muy buen remastered os lo recomiendo, es como el de wii pero mejor, 10/10",0.1
"Epic mickey rebrushed mejora en muchas cosas que fallaban en el original, la camara, la jugabilidad y etc, y si bien pudieron poner más cosas, asi está bien, lo recomiendo mucho, joyita",0.1
"it is hard to even believe this is a new game released in 2024, based on its looks. It’s like the dev has no concept what games look like these days.",0.01
"There are too much  quests, and they are very annoying. The difficulty is super easy.",0.05
bugs and glitches make this game basically not worth it. quests don't activate or finish and you can get stuck in scenery,0.04
"Nunca tuve el original de wii, pero gracias a este remastered o remake pude jugar a esta joya, lo que más me gusta es su historia, la jugabilidad muy buena y simplemente juegazo, probarlo",0.1
"This game captures the magic of the original game, and ups it to new levels. The world and the game in general is so much prettier and the graphics are ridiculous. The newly remade world is so pretty, with new little secrets here and there, and the projection screens are so well remade. I’m so obsessed with it!",0.1
,0.1
"Creo que si lo comparamos con el origina, este remake/remastered mejora muchas cosas del juego original, sin embargo, creo que debió de tener mas cosas nuevas (como mundos nuevos o que la decisiones fueran mas importantes) igualmente es muy buen juego",0.1
"Si ya el juego original me parecía muy bueno, este remake me parece una obra maestra, arregla los problemas de la camara + le añade nuevas mecánicas que lo hacen aún mejor, simplemente me parece muy bueno, 10/10",0.1
It's very good game I love it very much and I advise everyone to play this very beautiful game.,0.1
"This is the greatest game of all time to me. They fixed so many things, and made the game look amazing.",0.1
"Amazing game, great graphics, more fast paced gameplay, and a fixed camera. Definitely worth a wait.",0.1
I loved it Purple Lamp improved everything! The camera for example is miles better than the Wii version I love when a game studio genuinely cares about the game they’re making/remaking I highly recommend this game :),0.09
"Definitely my absolute favorite game, the gameplay, the levels designs, the characters designs, the characters themselves, the story, the graphics all are top tier",0.1
,0.03
"An improvement over the original which had bad camera and awful motion controllers, a solid platformer with a charming story, that suffers with low difficulty, and linear progression, 7.5/10",0.08
"Es un muy buen juego, la ambientación es increíble, una ambientación entre dibujos animados antigüos y un mundo sombrío, aparte la historia aunque no es la mejor si que es disfrutable, el sistema de malas acciones y buenas acciones me hubiera gustado que tuviera un poco más de impacto ya que al final apenas cambia, este remake agrega muchas cosas que le faltaban al original, uno de ellos fue la jugabilidad la cual está bastante más mejorada, aunque faltaron algunas cosas, una que ví muy necesaria fue el doblaje en las escenas, eso me hubiera gustado mucho. En resúmen es un buen juego pero no llega al 10 ya que faltaron un par de cosas mi gusto",0.08
Es un muy buen juego se te pasan las horas rápido de lo divertido que es buena jugabilidad y buena historia ojalá hagan remake del segundo,0.1
Un amigo mío me recomendó el juego original y gracias a este remastered lo pude jugar y es el mejor juego de Disney de la historia,0.1
"No hagáis caso a las malas críticas, es muy bueno 10/10, muy buen remastered os lo recomiendo, es como el de wii pero mejor, 10/10",0.1
"Epic mickey rebrushed mejora en muchas cosas que fallaban en el original, la camara, la jugabilidad y etc, y si bien pudieron poner más cosas, asi está bien, lo recomiendo mucho, joyita",0.1
"it is hard to even believe this is a new game released in 2024, based on its looks. It’s like the dev has no concept what games look like these days.",0.01
"There are too much  quests, and they are very annoying. The difficulty is super easy.",0.05
bugs and glitches make this game basically not worth it. quests don't activate or finish and you can get stuck in scenery,0.04
"Nunca tuve el original de wii, pero gracias a este remastered o remake pude jugar a esta joya, lo que más me gusta es su historia, la jugabilidad muy buena y simplemente juegazo, probarlo",0.1
"This game captures the magic of the original game, and ups it to new levels. The world and the game in general is so much prettier and the graphics are ridiculous. The newly remade world is so pretty, with new little secrets here and there, and the projection screens are so well remade. I’m so obsessed with it!",0.1
,0.1
"Creo que si lo comparamos con el origina, este remake/remastered mejora muchas cosas del juego original, sin embargo, creo que debió de tener mas cosas nuevas (como mundos nuevos o que la decisiones fueran mas importantes) igualmente es muy buen juego",0.1
"Si ya el juego original me parecía muy bueno, este remake me parece una obra maestra, arregla los problemas de la camara + le añade nuevas mecánicas que lo hacen aún mejor, simplemente me parece muy bueno, 10/10",0.1
It's very good game I love it very much and I advise everyone to play this very beautiful game.,0.1
"This is the greatest game of all time to me. They fixed so many things, and made the game look amazing.",0.1
"Amazing game, great graphics, more fast paced gameplay, and a fixed camera. Definitely worth a wait.",0.1
I loved it Purple Lamp improved everything! The camera for example is miles better than the Wii version I love when a game studio genuinely cares about the game they’re making/remaking I highly recommend this game :),0.09
"Definitely my absolute favorite game, the gameplay, the levels designs, the characters designs, the characters themselves, the story, the graphics all are top tier",0.1
