review,score,game_id,language
"['throne', 'liberti', 'full', 'fledg', 'next', 'gen', 'rpg', 'thank', 'impact', 'visual', 'style', 'well', 'incred', 'polish', 'gameplay', 'the', 'game', 'set', 'whole', 'new', 'standard', 'genr', 'henc', 'look', 'like', 'promis', 'futur', 'ahead', 'now', 'time', 'see', 'throne', 'liberti', 'truli', 'shine']",0.88,7,ENGLISH
"['like', 'mmorpg', 'fate', 'throne', 'liberti', 'reli', 'heavili', 'decis', 'ncsoft', 'amazon', 'game', 'make', 'regard', 'futur', 'content', 'noth', 'beat', 'solid', 'mmorpg', 'launch', 'far', 'least', 'earli', 'access', 'launch', 'incred', 'smooth', 'but', 'abil', 'keep', 'meaning', 'fun', 'content', 'come', 'keep', 'player', 'log', 'overal', 'make', 'mmo', 'feel', 'worth', 'play', 'in', 'current', 'state', 'hard', 'press', 'find', 'f', 'p', 'mmorpg', 'much', 'content', 'polish', 'throne', 'liberti', 'if', 'look', 'someth', 'put', 'mmo', 'back', 'mmorpg', 'could', 'look']",0.85,7,ENGLISH
"['throne', 'liberti', 'meet', 'expect', 'combin', 'aspect', 'game', 'special', 'style', 'it', 'uniqu', 'get', 'creat', 'charact', 'class', 'play', 'like', 'from', 'level', 'experi', 'excel', 'end', 'game', 'stuff', 'promis', 'someth', 'good', 'never', 'know', 'on', 'hand', 'learn', 'curv', 'overwhelm', 'ncsoft', 'achiev', 'someth', 'posit', 'hope', 'player', 'adapt', 'game', 'stop', 'hear', 'week']",0.83,7,ENGLISH
"['throne', 'liberti', 'would', 'undoubtedli', 'requir', 'month', 'develop', 'correct', 'mani', 'bug', 'plagu', 'new', 'player', 'the', 'univers', 'clean', 'interfac', 'icon', 'neat', 'progress', 'sound', 'gameplay', 'fluid', 'dynam', 'of', 'cours', 'throne', 'liberti', 'abl', 'compet', 'premium', 'tenor', 'mmo', 'genr', 'time', 'soon', 'but', 'got', 'everyth', 'take', 'make', 'mark', 'dynam', 'open', 'world', 'heart', 'requir', 'exist', 'within', 'rather', 'serv', 'dumb', 'launch', 'pad', 'level']",0.8,7,ENGLISH
"['throne', 'liberti', 'present', 'ambiti', 'riski', 'propos', 'encompass', 'classic', 'tradit', 'rpg', 'concept', 'new', 'dynam', 'mechan', 'top', 'notch', 'visual', 'the', 'storylin', 'full', 'stereotyp', 'enjoy', 'provid', 'adventur', 'includ', 'massiv', 'tutori', 'cover', 'variou', 'pvp', 'pve', 'game', 'mode', 'it', 'univers', 'get', 'lost', 'modern', 'mechan', 'give', 'reward', 'quickli', 'could', 'carri', 'user', 'end', 'find', 'monotoni', 'experi', 'soon']",0.75,7,ENGLISH
"['the', 'game', 'world', 'gorgeou', 'lovingli', 'put', 'togeth', 'built', 'scale', 'proper', 'mmo', 'worth', 'time', 'tri', 'price', 'free', 'i', 'much', 'see', 'throne', 'liberti', 'find', 'fan', 'thing', 'well', 'even', 'sweepingli', 'innov', 'genr', 'whole', 'say', 'lot', 'new', 'mmo', 'mmo', 'adjac', 'titl']",0.7,7,ENGLISH
"['i', 'doubt', 'throne', 'liberti', 'find', 'nich', 'mmo', 'commun', 'somehow', 'speak', 'and', 'i', 'happi', 'peopl', 'find', 'someth', 'enjoy', 'but', 'player', 'i', 'think', 'throne', 'liberti', 'anyth', 'valuabl']",0.3,7,ENGLISH
"['look', 'new', 'mmo', 'throne', 'liberti', 'easi', 'one', 'pick', 'might', 'sway', 'genr', 'newcom', 'i', 'entir', 'convinc', 'anyth', 'differ', 'genr', 'norm', 'level', 'polish', 'seldom', 'seen', 'particularli', 'earli', 'stage', 'will', 'challeng', 'heavi', 'hitter', 'right', 'earli', 'tell', 'good', 'start', 'review', 'progress']",-0.01,7,ENGLISH
"['but', 'lacklust', 'stori', 'unreal', 'potenti', 'certain', 'mechan', 'like', 'remain', 'way', 'time', 'they', 'could', 'expand', 'later', 'updat', 'present', 'state', 'enough', 'elev', 'throne', 'liberti', 'similar', 'game', 'genr', 'most', 'mmo', 'player', 'pretti', 'entrench', 'favorit', 'game', 'when', 'new', 'titl', 'come', 'along', 'offer', 'someth', 'special', 'enough', 'draw', 'player', 'away', 'current', 'obsess', 'throne', 'liberti', 'least', 'yet', 'the', 'introduct', 'multiplay', 'certainli', 'forc', 'reevalu', 'experi', 'i', 'prefer', 'look', 'throne', 'liberti', 'fledgl', 'mmo', 'laid', 'lot', 'good', 'groundwork', 'still', 'long', 'way', 'go', 'review', 'progress']",-0.01,7,ENGLISH
"['there', 'real', 'promis', 'stand', 'modern', 'successor', 'one', 'time', 'great', 'genr', 'ncsoft', 'lineag', 'review', 'progress']",-0.01,7,ENGLISH
"['while', 'breath', 'wild', 'tear', 'kingdom', 'success', 'brought', 'excit', 'new', 'concept', 'nintendo', 'icon', 'seri', 'help', 'revolution', 'open', 'world', 'game', 'echo', 'wisdom', 'feel', 'like', 'big', 'step', 'forward', 'classic', 'zelda', 'the', 'game', 'punchi', 'cocktail', 'old', 'school', 'zelda', 'expertli', 'blend', 'modern', 'mechan', 'seri', 'two', 'open', 'world', 'giant', 'as', 'result', 'nintendo', 'creat', 'someth', 'feel', 'nostalg', 'uniqu', 'fresh', 'it', 'may', 'taken', 'year', 'seri', 'titular', 'princess', 'final', 'get', 'game', 'boy', 'worth', 'wait', 'echo', 'wisdom', 'demonstr', 'nintendo', 'capabl', 'wow', 'zelda', 'fan', 'breath', 'new', 'life', 'legendari', 'seri', 'echo', 'wisdom', 'resound', 'success', 'masterclass', 'creativ', 'worthi', 'debut', 'titl', 'seri', 'legendari', 'princess']",1.0,6,ENGLISH
"['the', 'legend', 'zelda', 'echo', 'wisdom', 'perfect', 'legend', 'zelda', 'game', 'where', 'breath', 'wild', 'tear', 'kingdom', 'took', 'seri', 'new', 'direct', 'point', 'bare', 'relat', 'came', 'zelda', 'first', 'outing', 'protagonist', 'feel', 'like', 'fit', 'seamlessli', 'tradit', 'ocarina', 'time', 'link', 'awaken', 'link', 'past', 'not', 'nintendo', 'built', 'gameplay', 'system', 'whimsic', 'creativ', 'previou', 'titl', 'make', 'complet', 'fulli', 'realis', 'vision', 'seri', 'alway', 'want', 'i', 'desper', 'hope', 'one', 'experi', 'the', 'legend', 'link', 'stay']",1.0,6,ENGLISH
"['the', 'legend', 'zelda', 'echo', 'wisdom', 'featur', 'amaz', 'hallmark', 'seri', 'yet', 'feel', 'complet', 'innov', 'uniqu', 'fresh']",1.0,6,ENGLISH
"['long', 'time', 'zelda', 'player', 'smile', 'ear', 'ear', 'roll', 'credit', 'the', 'legend', 'zelda', 'echo', 'wisdom', 'full', 'wonder', 'surpris', 'engag', 'gameplay', 'ton', 'stuff', 'biggest', 'top', 'iter', 'hyrul', 'yet']",1.0,6,ENGLISH
"['the', 'perfect', 'evolut', 'zelda', 'seri', 'it', 'feel', 'everi', 'way', 'like', 'zelda', 'stori', 'game', 'great', 'job', 'prove', 'mani', 'differ', 'way', 'hero']",1.0,6,ENGLISH
"['echo', 'wisdom', 'great', 'send', 'the', 'legend', 'zelda', 'success', 'era', 'the', 'game', 'end', 'point', 'clear', 'path', 'start', 'breath', 'wild', 'continu', 'tear', 'the', 'kingdom', 'game', 'unyield', 'faith', 'player', 'abil', 'solv', 'problem', 'creativ', 'way', 'all', 'combin', 'structur', 'classic', 'd', 'era', 'zelda', 'game']",1.0,6,ENGLISH
"['you', 'find', 'quickli', 'expertli', 'toss', 'pot', 'distract', 'baddi', 'stack', 'box', 'tabl', 'extra', 'height', 'fire', 'littl', 'green', 'critter', 'fight', 'run', 'around', 'enemi', 'escap', 'it', 'joy', 'play', 'look', 'great', 'excel', 'craft', 'mashup', 'game', 'idea', 'deliv', 'fresh', 'feel', 'new', 'zelda']",1.0,6,ENGLISH
