review,score,game_id
"While Breath of the Wild and Tears of the Kingdom successfully brought exciting new concepts to Nintendo's iconic series and helped revolutionize open-world games – Echoes of Wisdom feels like a big step forward for classic Zelda. The game is a punchy cocktail of old school Zelda, expertly blended with modern mechanics from the series’ two open-world giants. As a result, Nintendo has created something that feels both nostalgic and uniquely fresh…It may have taken 38 years for the series's titular princess to finally get her own game, but boy was it worth waiting for. Echoes of Wisdom not only demonstrates that Nintendo is capable of wowing Zelda fans, but it can breathe new life into its legendary series. Echoes of Wisdom is a resounding success, a masterclass in creativity, and a worthy debut title for the series’ legendary princess.",1.0,6
"The Legend of Zelda: Echoes of Wisdom is the perfect Legend of Zelda game. Where Breath of the Wild and Tears of the Kingdom took the series in new directions, to the point that they're barely related to what came before them, Zelda’s first outing as a protagonist feels like it fits seamlessly in with the traditions of Ocarina of Time, Link’s Awakening and Link to the Past. Not only that, but Nintendo has built a gameplay system that is more whimsical and creative than any of those previous titles, making this a more complete and fully realised vision of what the series has always wanted to be. I desperately hope that this wasn’t just a one-off experiment, and The Legend of Link is here to stay.",1.0,6
"The Legend of Zelda: Echoes of Wisdom features all of the amazing hallmarks of the series, yet feels completely innovative, unique, and fresh.",1.0,6
"Long-time Zelda players will be smiling from ear to ear when they roll credits. The Legend of Zelda: Echoes of Wisdom is full of wonderful surprises, engaging gameplay, and tons of stuff to do in the biggest top-down iteration of Hyrule yet.",1.0,6
"The perfect evolution for the Zelda series. It feels, in every way, like this is Zelda’s story, and this game does a great job of proving that there are many different ways to be a hero.",1.0,6
"Echoes of Wisdom is a great send-off to The Legend of Zelda's most successful era. The game is the ending point for a very clear path started by Breath of the Wild and continued in Tears of The Kingdom, of games that have an unyielding faith in the player's ability to solve problems in very creative ways. All of that is combined with the structure of classic 2D-era Zelda games.",1.0,6
"You’ll find yourself quickly and expertly tossing pots to distract baddies, stacking boxes and tables for extra height and firing out little green critters to fight for you, while you run around enemies to escape. It’s a joy to play, looks great and an excellently crafted mashup of gaming ideas to deliver a fresh-feeling new Zelda.",1.0,6
"The Legend of Zelda: Echoes of Wisdom has managed to surprise me by mixing the limitless creativity that the 3D games of the franchise have been offering with the classic flavor of the two-dimensional Zelda games. Playing as Princess Zelda is a breath of fresh air, and mechanics such as creating Echoes or Bind give room for many possibilities.",0.97,6
"The Legend of Zelda: Echoes of Wisdom elegantly bridges old and new Zelda with grace and gusto. The Echoes system is inventive, the dungeon designs are strong and the whole experience feels like everything a classic Zelda experience should be. While minor performance issues hold Echoes of Wisdom back from being everything it could be, they're only minor blemishes on an otherwise stellar adventure fit for a princess.",0.95,6
"The Legend of Zelda: Echoes of Wisdom feels like the perfect compromise between old and new. It incorporates some of the best elements of open-world design from the more recent 3D titles into the solid linear structures of the classic 2D instalments to create something that feels familiar without being too stale, and structured without being restrictive. No matter what your history with the series is, you’d be wise to check this one out. The Legend of Zelda: Echoes of Wisdom launches for Nintendo Switch on 26 September 2024.",0.95,6
"The Legend of Zelda: Echoes of Wisdom is a game with a considerably smaller scale than the last two installments in the series and therefore, with much more earthly goals and objectives, however, Grezzo brings to the table a title with a lot of proposal that knew perfectly how to mix the whole new philosophy of the franchise, with its oldest and most beloved traditions by fans. This opens a completely new line of thought that tells us that smaller-sized The Legend of Zelda also have a place in the future. Needless to say, we are facing one of the great video games of this very strong 2024, one that of course, you shouldn't miss for anything.",0.95,6
"Echoes of Wisdom offers a variety of clever puzzles that go hand in hand with its excellent gameplay and charming story, which looks and feels like it came straight out of a cozy fairytale. It's nothing short of a highly memorable and fulfilling experience.  ",0.95,6
"Anarchic, exciting and at times ingenious: The Legend of Zelda Echoes of Wisdom is an adventure that will test your brains without overstressing your fingertips. It doesn't last long and hardcore gamers will perhaps complete it too quickly, but the journey is sensational and enveloped in the usual ‘made in Nintendo’ magic that makes it a must-have in any case.",0.93,6
The Legend of Zelda: Echoes of Wisdom reclaims the relevance of the games with this perspective within the franchise. Leaving Link aside allows us to play a fresh formula that at the same time remains recognizable.,0.92,6
The Legend of Zelda: Echoes of Wisdom cleverly combines the format of classic installments with the style of modern ones; a link between the past and the future of the saga that also brings home-grown ideas full of possibilities and freshness. The princess has shown why she has always been HER legend.,0.91,6
"The Legend of Zelda: Echoes of Wisdom is the twist on the old Zelda formula that we've been craving. Classic systems like a large number of dungeons are still present, while the magic system makes for an incredible array of solutions to your problems. The named downsides, like the unintuitive item menu and the framedrops, are annoying, but otherwise do not bother this solid game.",0.9,6
"It may have taken nearly four decades, but the first mainline Zelda game with the titular princess in the lead role was worth the wait. This is a magnificent adventure that whizzes and pops with imagination, and proudly stands shoulder to shoulder with the very best of Link’s tales. If this is the Switch’s final Zelda game - and surely it has to be - then we’re going out on a high.",0.9,6
"The Legend of Zelda: Echoes of Wisdom is a gorgeous, brilliantly clever game in a series that continues to be unique and innovative.",0.9,6
"The Legend of Zelda: Echoes of Wisdom proves that a classic approach to the series is still possible as long as it only partially negates the evolutions of recent years. The new gameplay mechanics blend perfectly with the old-school structure and are fun, while the art direction takes your breath away.",0.9,6
"The new Zelda game, where you finally play as Zelda, offers an unexpectedly grand adventure, blending the best of the series' 2D titles with crafting-like mechanics inspired by Tears of the Kingdom. Echoes of Wisdom is more than a spin-off or mish-mash of previous concepts – it’s a well-crafted, refreshing addition to the legendary series.",0.9,6
"Where Link’s Awakening already looked fantastic and sounded even better, The Legend of Zelda: Echoes of Wisdom has all of that, but with a unique gameplay concept on top. The ability to learn and copy objects and enemies adds so much more depth than you might expect at first glance. It seems like multiple solutions are possible for everything, and you might have a completely different approach to most of the game than I do. Selecting the Echoes is somewhat awkward, and this user interface is the biggest criticism I have of the game. By limiting direct combat, you’re forced to think differently, and in most cases, this works out well, though it can be frustrating at times. Beyond that, you’ll find a wonderfully traditional Zelda adventure full of secrets, great dungeons, and boss fights, but filled with small environment-based puzzles and challenges.",0.9,6
"Subverting the franchise's standard narrative, Echoes of Wisdom sets the titular princess out to save the kingdom - and Link - from the forces of evil. Even without wielding a sword and shield at all times, Zelda uses the greatest weapon she possesses: wisdom, and there's nothing more “Zelda” than that.",0.9,6
"Nintendo reimagines The Legend of Zelda series by using Zelda herself, creating an adventure very different from those of Link. It's clever and rewarding, offering almost complete freedom to experiment and turning this ""classic Zelda"" into a revolution of 2D sandbox games.",0.9,6
"The Legend of Zelda: Echoes of Wisdom should be the new standard for top-down Zelda going forward. Rather than abandoning the classic formula, Zelda has shown that the old and the new can come together and produce wonderful results that reward experimentation and reinforce the joy of play. This is easily in contention with A Link to the Past and A Link Between Worlds as one of the best top-down adventures in the series, and we hope we don’t need to wait another 35 years for Zelda to take a starring role again.",0.9,6
"The Legend of Zelda: Echoes of Wisdom gives Princess Zelda a starring role, combining new and classic elements to deliver an inventive title that's one of the most delightful in the series yet.",0.9,6
"The Legend of Zelda: Echoes of Wisdom gives the princess a worthy game, with a brilliant gameplay mechanic that, despite technical flaws, stimulates your brain in a classic way.",0.9,6
"Even with this overabundance of options, and even considering the technical limitations and simplicity mentioned above, it's hard not to play Echoes of Wisdom and think, ""This is what I've been waiting for.",0.9,6
The Legend of Zelda Echoes of Wisdom is a unique new addition to the Zelda family. It’s wonderful to see the same boundless creativity celebrated in a smaller-scale title.,0.9,6
"The Legend of Zelda: Echoes of Wisdom may not be a game for everyone. Maybe not even a game for every Zelda fan. It does things differently, turns the traditional formula on its head and asks you to do something other than traditional combat. But that's what impressed me about it. It's not trying to do the same thing that worked five years ago. It's building on that, but it's doing something new, something fresh and something interesting that's hard to tear yourself away from.",0.9,6
