review,score,language
"another great entry to zelda franchise. from the art style, gameplay and especially the music, this game is perfect!",1.0,ENGLISH
"Way better than TotK. The Echoes system is very good and feels actually balanced wich surprised me a lot, the Game could be a challenge for some and a easy Game for others but the cute art style and Cozy feel make this a Game for everyone.",1.0,ENGLISH
,1.0,Unknown
,1.0,Unknown
"Game is sooo good, after Totk it felt so good to have a game that fans have been wishing for for a time",1.0,ENGLISH
In my opinion I think it tops links awakening. My only problems are the frame rate which can be an issue at times but not game breaking.,1.0,ENGLISH
"Simply the best Zelda game that represents its origins, combining with what Nintendo did best in the freedom present in Botw, the best Zelda of all time.",1.0,ENGLISH
,0.4,Unknown
"Although it is not traditional Zelda (as you do not play as Link), Echoes of Wisdom succeeds in being the 2d Zelda game we've all been hoping for. The gameplay is very fun, and the echoes are a very fun and creative game mechanic that sets this game apart from pretty much any other game. The level design is superb, as we finally have semi-traditional dungeons! They're admittedly quite easy, and the progression isn't based on items like it was previously (instead you progress forward using new unique Echoes the game gives you), but they're still very well-designed dungeons that use the Echo mechanic to make some of the most creative puzzles you'll ever see in a Zelda game. In terms of progression, they've managed to take the best of both worlds from both the open-air games and the linear titles of old, and this combination is essentially the best I was hoping for. The Echoes are often a bit janky though, they often don't do what you want them to do.",0.8999999999999999,ENGLISH
,1.0,Unknown
"Esse jogo é perfeito. É como se Ocarina of Time, Link's Awakening e Tears of the Kingdom tivessem tido um filho. O jogo tem vários dos elementos que fizeram esses outros títulos serem tão especiais.",1.0,PORTUGUESE
"Esto si que es un video juego con innivación en su gameplay y que sabe mantenerse fresco en el tiempo. Otra compañia que no diré su nobmre debería aprender de Nintendo en vez de hacer imitaciones a la jugabilidad de Mario y otras licencias. Grande Zelda y Grande Nintendo, la verdadera salvadora de los video juegos!",1.0,SPANISH
Interesante mezcla entre lo tradicional y lo antiguo. Creo que deja contento a los veteranos y a los fans que se han incorporado a la franquicia con Breath of the Wild y Tears of the Kingdom. Como siemrpe la jugabilidad es espectacular e innovadora. Muy recomendado!,1.0,SPANISH
,1.0,Unknown
Mixes enough old with the new to create a fresh new 2D Zelda experience that allows players to tackle challenges in their own way. Zelda’s future is looking bright.,0.8999999999999999,ENGLISH
"Brilliant traversal, actually good dungeons, and still having that classic Zelda feel. What’s not to love?",1.0,ENGLISH
Zelda as a character I always felt that she needed a game all centered around her someday. And boy did this one deliver!,1.0,ENGLISH
"Please bring back item-based progression. The older Zeldas were so much better at making the player feel accomplished when solving one-solution puzzles while engaging in actual combat as opposed to the open-ended Minecraft-styled gameplay. There's just so much in this game that takes from Tears of the Kingdom that it just bores me to tears. The new direction that Zelda games are going in is going to divide the fanbase even more than in the past few years, and I fear that it's only going to get worse with the release of the Switch's successor if nothing is done to properly address it.",0.3,ENGLISH
非常好的游戏，我还以为2d塞尔达不会再出新作了，非常惊喜，第一次操控公主游戏，纯粹的乐趣，我爱任天堂，希望以后能玩到更多的塞尔达2d系列作品，下次希望主角是林克，回归系列最传统的样子,1.0,Chinese
"Much like Super Mario Wonder, I feel like I'm going through the motions and this game is intended for a very young audience.  Most reviews fail to grasp the lack of challenge/complexity here.",0.4,ENGLISH
"This game looks super fun! It is a fresh spin on the Zelda formula. Love the visual style. However, the frame rate inconsistency makes it unplayable. Nintendo needs to patch this and cap it at 30 fps.",0.4,ENGLISH
"Buen juego de Zelda con mazmorras clásicas, con un estilo artístico adorable, se hecha en falta el combate tradicional. tiene leves caídas de framerate sin embargo no es nada grave",0.8999999999999999,SPANISH
This game was so adorable and had the best bosses in any 2D zelda game due to its creativity,1.0,ENGLISH
Might possibly be my new favorite 2D Zelda game after link between worlds! A classic even,1.0,ENGLISH
,0.4,Unknown
The many ways you can solve puzzles and all the other fun stuff gives this game a great lil brother of tears of the kingdom vibe. And all the fan service they put in with jabu jabu etcit'sjust nice!,0.8999999999999999,ENGLISH
,1.0,Unknown
"A Zelda Finalmente é um personagem jogável em sua própria aventura. O jogo e lindo, divertido, inteligente e cheio de carisma. É provavelmente o melhor jogo topdown, unindo o estilo clássico com as mecânicas modernas vidas do Breath. Nota 10 de 10!",1.0,PORTUGUESE
"Nintendo sempre buscando inovar e é isso que esse jogo nos traz, novas mecanicas todos o sentidos (ja que o personagem principal não é nosso querido link) alem da mecanica unica que exige uma criatividadeimensa do jogador te dando diversas oportunidades para evoluir no jogo. A arte do jogo é algo muito lindo alem dos detalhes do jogo que só quem é fã de zelda fica de boca no chão. O jogo esta perfeito, sem a presença de bugs e com uma lore perfeita. Joguem!",0.8999999999999999,PORTUGUESE
,0.8999999999999999,Unknown
Jogo que lembra muito A Link Between Worlds e a link to The past um jogo que faz você raciocinar para descobrir como vou passar essa parte do jogo músicas boas história boa um jogo cativante recomendo a todos esse jogo maravilhoso obrigado Nintendo por fazer minha alegria a anos,1.0,PORTUGUESE
"Zelda: Echoes of Wisdom brings the princess back to the forefront, sealing her Triforce piece in an ingenious and delightfully engaging 2D adventure. Acting as a perfect bridge between the sprawling freedom of Breath of the Wild and the nostalgic charm of Link's Awakening, this title breathes new life into the Zelda franchise. Despite its fresh take, it remains undeniably a true Zelda game at heart, capturing the series' signature magic, puzzles, and sense of exploration. Standing tall alongside Super Mario Bros. Wonder, it showcases Nintendo's late-console brilliance and offers a masterclass in game design that other developers would do well to learn from. A magical experience not to be missed.",1.0,ENGLISH
The puzzles are quite nice. Reminds me of the BOTW shrine puzzles in some way because you're pretty free to find your own solution using the in game physics.,1.0,ENGLISH
,1.0,Unknown
Finally Zelda is the main character in her own game!! You don't know how excited I am about this. After beating it I can say it's GOTY!,1.0,ENGLISH
,1.0,Unknown
,1.0,Unknown
Absolutely fantastic game that brings both the modern aspects of botw/totk and the good old fashioned 2D zelda with its dungeons and puzzle solving!,1.0,ENGLISH
"Muito bomo jogo, a diversão vale mais que os pequenos framedrops. Zelda é sempre incrível.",0.8999999999999999,PORTUGUESE
,0.6,Unknown
"It's charming but holy cr*p is this game boring. Absolutely trivial puzzles that don't offer any challenge or enjoyment. It's not nearly as clever or interesting as it wants to be. It gives you the illusion that there are tons of options, but most of the time there's only one way to go about things. The only real choice you get is what ally you want to summon so you can just sit there and watch them fight for you, which just gets tedious. Definitely a subpar Zelda experience.",0.5,ENGLISH
,1.0,Unknown
